Wall time,Step,Value
1619365723.237657,528800,376.0
1619365738.659564,528900,320.0
1619365831.8984914,529500,480.0
1619365925.363584,530100,622.0
1619365956.4238856,530300,626.0
1619366003.189149,530600,748.0
1619366547.977018,534100,426.0
1619366734.940879,535300,424.0
1619367030.8686419,537200,542.0
1619367062.0345492,537400,486.0
1619367311.6414747,539000,478.0
1619367358.3483827,539300,468.0
1619367389.3635302,539500,392.0
1619367405.0651278,539600,560.0
1619367701.0043547,541500,494.0
1619368074.463793,543900,506.0
1619368121.4360836,544200,416.0
1619368323.739563,545500,542.0
1619368448.362534,546300,444.0
1619368588.5192242,547200,620.0
1619368635.1046903,547500,586.0
1619368666.4094741,547700,608.0
1619368681.9198415,547800,608.0
1619368899.680117,549200,358.0
1619369024.1890936,550000,442.0
1619369406.5696447,552200,384.0
1619369499.896647,552800,536.0
1619369546.6170838,553100,486.0
1619369655.531882,553800,520.0
1619369857.5987096,555100,422.0
1619369888.8123174,555300,416.0
1619369904.4749923,555400,434.0
1619370013.4811144,556100,532.0
1619370293.431731,557900,456.0
1619370650.9350634,560200,554.0
1619370729.1048956,560700,432.0
1619370744.484336,560800,432.0
1619371039.6715064,562700,450.0
1619371070.7584832,562900,476.0
1619371163.8755836,563500,456.0
1619371568.664117,566100,808.0
1619371646.6512132,566600,920.0
1619371849.2592366,567900,672.0
1619371911.430398,568300,762.0
1619372191.4944582,570100,666.0
1619372316.2378612,570900,438.0
1619372673.8133986,573200,404.0
1619372720.4999049,573500,382.0
1619372736.0953994,573600,426.0
1619372798.174253,574000,306.0
1619372813.6317017,574100,306.0
1619372875.8873398,574500,320.0
1619373217.890278,576700,528.0
1619373575.535479,579000,632.0
1619373777.889396,580300,456.0
1619374026.7885933,581900,958.0
1619374197.9801726,583000,494.0
1619374447.0629618,584600,594.0
1619374664.7413332,586000,518.0
1619374680.4095435,586100,518.0
1619374727.0569303,586400,580.0
1619374991.8574271,588100,336.0
1619375054.0856264,588500,354.0
1619375365.6127648,590500,750.0
1619375396.6969078,590700,756.0
1619375614.5785785,592100,572.0
1619375692.5936103,592600,464.0
1619375909.8929214,594000,350.0
1619375925.5047677,594100,354.0
1619375956.5273054,594300,320.0
1619376034.0493176,594800,274.0
1619376470.227673,597600,548.0
1619376610.2120683,598500,476.0
1619376719.2873273,599200,572.0
1619376781.575225,599600,632.0
1619376875.2166224,600200,492.0
1619376968.6570377,600800,370.0
1619377096.8756948,601300,380.0
1619377143.7405257,601600,334.0
1619377175.0095239,601800,392.0
1619377408.6370323,603300,498.0
1619377548.614948,604200,394.0
1619377673.0563896,605000,548.0
1619377938.0899446,606700,604.0
1619378015.6812518,607200,372.0
1619378046.8782196,607400,362.0
1619378233.6599624,608600,520.0
1619378264.7713702,608800,500.0
1619378358.010464,609400,492.0
1619378545.2513773,610600,650.0
1619378623.05713,611100,572.0
1619378778.6569738,612100,578.0
1619378934.170762,613100,362.0
1619379369.7566266,615900,574.0
1619379400.9220638,616100,612.0
1619379463.379668,616500,498.0
1619379697.036452,618000,488.0
1619380335.5767138,622100,394.0
1619380382.2106335,622400,344.0
1619380444.5390546,622800,312.0
1619380662.461177,624200,406.0
1619380833.5864513,625300,434.0
1619380942.6387532,626000,452.0
1619381207.1651454,627700,512.0
1619381253.846057,628000,512.0
1619381331.6298475,628500,622.0
1619381409.555343,629000,522.0
1619381503.3705103,629600,600.0
1619381689.533154,630800,528.0
1619381705.1350992,630900,528.0
1619381969.2676628,632600,616.0
1619382016.0813825,632900,664.0
1619382125.2144887,633600,460.0
1619382544.5839274,636300,444.0
1619382575.7785854,636500,444.0
1619382684.4838321,637200,702.0
1619382964.1326253,639000,584.0
1619382995.0677433,639200,496.0
1619383103.8598504,639900,504.0
1619383243.541713,640800,410.0
1619383399.0955453,641800,494.0
1619383414.5479493,641900,512.0
1619383570.3386781,642900,496.0
1619383632.6010478,643300,446.0
1619383648.1018374,643400,428.0
1619383943.4764445,645300,456.0
1619384021.312164,645800,238.0
1619384052.323863,646000,252.0
1619384114.5132456,646400,246.0
1619384254.2451823,647300,494.0
1619384535.1634805,649100,394.0
1619384845.8662448,651100,572.0
1619384961.4107602,651600,442.0
1619385101.8291264,652500,732.0
1619385195.1106412,653100,316.0
1619385210.693416,653200,316.0
1619385226.3879344,653300,316.0
1619385273.3863227,653600,564.0
1619385320.1120775,653900,578.0
1619385662.7645729,656100,548.0
1619385927.7427561,657800,700.0
1619385943.230973,657900,700.0
1619386005.7512195,658300,660.0
1619386083.4719927,658800,504.0
1619386192.5119376,659500,322.0
1619386332.93497,660400,466.0
1619386364.152879,660600,466.0
1619386520.0302396,661600,268.0
1619386613.5552566,662200,418.0
1619386644.8225822,662400,436.0
1619386738.3268,663000,384.0
1619386769.4480124,663200,424.0
1619386800.4681404,663400,386.0
1619386987.2893066,664600,412.0
1619387018.4356697,664800,418.0
1619387049.5687628,665000,394.0
1619387407.4725342,667300,494.0
1619387547.4633121,668200,498.0
1619387593.8687096,668500,466.0
1619387842.8735669,670100,520.0
1619387998.025881,671100,352.0
1619388013.5388749,671200,506.0
1619388044.632326,671400,466.0
1619388138.0668705,672000,464.0
1619388231.2117558,672600,478.0
1619388340.0234072,673300,422.0
1619388417.8733056,673800,458.0
1619388526.7124212,674500,552.0
1619388619.975595,675100,584.0
1619388822.223267,676400,442.0
1619389226.6532114,679000,430.0
1619389537.8013537,681000,358.0
1619389584.7452185,681300,360.0
1619389646.9214373,681700,360.0
1619389662.5153227,681800,356.0
1619389771.3985727,682500,282.0
1619390035.903596,684200,494.0
1619390206.8632846,685300,228.0
1619390377.81713,686400,314.0
1619390486.8409302,687100,268.0
1619390580.4022799,687700,324.0
1619390953.4807851,690100,332.0
1619391683.7438562,694800,336.0
1619391808.2553937,695600,316.0
1619391870.245868,696000,410.0
1619392072.489612,697300,268.0
1619392243.5912566,698400,390.0
1619392306.0799475,698800,394.0
1619392430.2483335,699600,260.0
1619392445.9375088,699700,260.0
1619392508.0856013,700100,316.0
1619392648.10212,701000,194.0
1619392663.5311031,701100,194.0
1619392848.7981493,702100,364.0
1619392864.3875763,702200,290.0
1619392879.8735673,702300,290.0
1619393004.437045,703100,672.0
1619393315.5036557,705100,412.0
1619393688.8909326,707500,252.0
1619393751.2536838,707900,342.0
1619393782.4289675,708100,336.0
1619393798.0466635,708200,336.0
1619393844.7177632,708500,352.0
1619394000.0731559,709500,258.0
1619394139.8574579,710400,228.0
1619394186.6049244,710700,388.0
1619394341.9371853,711700,248.0
1619394419.6248527,712200,214.0
1619394979.6439383,715800,360.0
1619395119.9146147,716700,392.0
1619395151.2813096,716900,508.0
1619395213.4746394,717300,394.0
1619395307.0217576,717900,180.0
1619395353.7913702,718200,188.0
1619395462.8369274,718900,296.0
1619395587.4270601,719700,484.0
1619395634.1804087,720000,400.0
1619395758.8029604,720800,434.0
1619395821.200482,721200,560.0
1619395884.0386608,721600,486.0
1619396039.74479,722600,174.0
1619396055.4194603,722700,174.0
1619396242.3598456,723900,312.0
1619396304.5135794,724300,486.0
1619396413.383338,725000,400.0
1619396475.482607,725400,370.0
1619396646.7278328,726500,180.0
1619396833.4745362,727700,270.0
1619397082.0731413,729300,202.0
1619397471.432875,731800,480.0
1619397705.1742036,733300,408.0
1619397923.1873043,734700,560.0
1619397985.4464316,735100,534.0
1619398047.759364,735500,426.0
1619398172.2400596,736300,178.0
1619398265.8397305,736900,332.0
1619398281.3283415,737000,332.0
1619398546.6560724,738700,308.0
1619398686.763601,739600,458.0
1619398780.1125567,740200,530.0
1619398904.652906,741000,450.0
1619398951.3219836,741300,490.0
1619399294.000641,743500,334.0
1619399559.1462128,745200,304.0
1619399621.4145238,745600,286.0
1619399746.0454905,746400,244.0
1619399792.7296314,746700,408.0
1619399886.1104748,747300,426.0
1619400166.3849587,749100,292.0
1619400197.4331415,749300,292.0
1619400477.683104,751100,392.0
1619400540.1375608,751500,510.0
1619400623.0760732,751800,452.0
1619400856.2967849,753300,334.0
1619400902.9416344,753600,386.0
1619400964.9380698,754000,230.0
1619401073.8164155,754700,318.0
1619401276.3785994,756000,376.0
1619401369.9351375,756600,434.0
1619401588.0292056,758000,474.0
1619401775.0569818,759200,268.0
1619401883.9578168,759900,274.0
1619402008.5374,760700,300.0
1619402132.95725,761500,492.0
1619402148.6386957,761600,562.0
1619402226.364706,762100,440.0
1619402288.7625227,762500,548.0
1619402491.2253704,763800,452.0
1619402553.730874,764200,448.0
1619402771.7000504,765600,272.0
1619402958.501663,766800,624.0
1619402973.9803813,766900,330.0
